Unnamed: 0,URL,Grade Accepted,Bank,Product,Proxy Used,Status,Clear Conditions,Polite Employee,Availability,Convenience,City,Date,Review,Grade,sentiment,NEUTRAL,POSITIVE,NEGATIVE
15,https://www.banki.ru/services/responses/bank/response/12623907,True,ПСБ,дебетовая карта,False,good,2,2,1,1,Воронеж (Воронежская область),13.10.2025 10:40,"с 18.07 нахожусь в блоке по фз 161, т.к. мне пришли краденые деньги, которые я получил за продажу своего имущества, далее начал искать в чём проблема, написал в ЦБ РФ, ЦБ указал на МВД и ПСБ, начал разбираться, прошёл допрос в МВД, на связи со следователем, доказал свою невиновность перед законом, после чего, 15.09.2025 следователь направаила запрос в ПСБ о моей невиновности по Уголовному делу, этот запрос банк успешно проигнорировал.

Параллельно получил ещё один ответ от ЦБ, где так же указали банк ПСБ, пытался связаться с банком ПСБ через звонок на горячую линию, мне там толком ничего не сказали, сказали просто писать в ЦБ(хотя ЦБ меня направил в банк), поддержка в соцсети так же не помогла, в офисе ничего не сказали, там сказали, что ограничений вообще нет, написал на почту, прошло больше 15 рабочих дней, ответа никакого нет.

09.10 написал запрос через офис, ответа сильно не жду, сижу с блокировкой, следователь выходит скоро из отпуска, попрошу её направить ещё один запрос, банк просто игнорирует меня и следователя
в случае если Банк не пойдёт на встречу, будет досудебная претензия, далее суд ",1,NEGATIVE,0.180695578455925,0.067858301103115,0.7514461278915405
16,https://www.banki.ru/services/responses/bank/response/12623908,False,Банк Ozon,дебетовая карта,False,good,3,3,3,3,Екатеринбург (Свердловская область),13.10.2025 10:40,"Здравствуйте,

пользуюсь картой уже 2 года и не разу не подводила, поддержка отвечает быстро и грамотно, проложение работает хорошо, все отлично советую пользоваться картой озон, море кэшбеков и подарков,

самые лучший банк в мире, спасибо что вы предложили пользоваться картой озон, вы лучшие  ",5,POSITIVE,0.0150583572685718,0.9813482761383056,0.0035932976752519
17,https://www.banki.ru/services/responses/bank/response/12623909,False,Альфа-Банк,все продукты,False,good,3,3,3,0,Краснодар,13.10.2025 10:40,Решила поменять банк. И нахожусь в восторге!!!  За секунду решили обращение по поводу комиссии за уведомления. Такого внимания в прошлом банке не было и заняло бы как минимум день😂 Радует Ваш кешбек🤑за оплату коммунальных услуг в моём банке не учитывали. Хочу перевести всех родственников в Вашу компанию ✊ ,5,POSITIVE,0.0285558141767978,0.9640215635299684,0.0074225538410246
18,https://www.banki.ru/services/responses/bank/response/12623910,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Тамбов,13.10.2025 10:40,"Здравствуйте. Я обратился в онлайн-чат 07.10.2025 в 15:59 по поводу подписки альфа-смарт когда получил дебетовую карту. Мне быстро ответила девушка мы быстро решили мою проблему. Требовалось отключить подписку так как я в ней не нуждаюсь. Девушка меня сразу поняла и отключила данную подписку. Все прошло гладко мне понравился интерфейс онлайн-чата, вежливость сотрудников банка. Моя оценка пять, успехов вам в развитии банка! ",5,POSITIVE,0.0238429605960845,0.970160722732544,0.0059963292442262
19,https://www.banki.ru/services/responses/bank/response/12623911,True,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Великие Луки (Псковская область),13.10.2025 10:41," я сразу же написала в поддержк, чтобы выяснить, что случилос, мне ответили почти сразу же и на утро решили мою проблему, выключим платные оповещения включенные при получении карты, не мной.

Проблема решена, деньги мне вернули,я довольна. Лучший банк с лучшим обслуживанием! Спасибо вам за то что вы есть!!) ",5,POSITIVE,0.0161860100924968,0.9798716902732848,0.003942287992686
21,https://www.banki.ru/services/responses/bank/response/12623913,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Тольятти,13.10.2025 10:41,Молодцы очень быстро и качественно помогли персонал хорошо справляется я обратился по карте помогли в сентябре 15 мин буду советовать всем друзья ещё просил мне настроить вклад помочь они помогли в сентябре 30мин так что персонал молодцы 10 балов качествено работаю и горячей линия тоже работает быстро а вообще на данный банк  ,5,POSITIVE,0.0150009244680404,0.9814199805259703,0.0035790344700217
22,https://www.banki.ru/services/responses/bank/response/12623914,False,Альфа-Банк,все продукты,False,good,3,3,3,3,Октябрьский,13.10.2025 10:41,"Когда мне было 14 лет, я решила открыть свой первый счет, чтобы получать карманные деньги и учиться управлять финансами. Я обратилась в Альфа-Банк, потому что слышала, что у них отличное обслуживание для молодежи.

В отделении меня встретила дружелюбная девушка, которая сразу поняла, что мне нужно. Она рассказала о молодежном тарифе без комиссии и объяснила, как легко управлять деньгами через мобильное приложение.

После открытия счета я почувствовала себя более взрослой. Теперь я могла не только получать деньги, но и планировать свои расходы, откладывать на что-то важное, например, на новую игровую консоль.

Альфа-Банк стал для меня настоящим помощником в мире финансов, и я очень рада, что обратилась именно туда! ",5,POSITIVE,0.0369543060660362,0.9531279802322388,0.0099176941439509
24,https://www.banki.ru/services/responses/bank/response/12623916,True,Совкомбанк,дебетовая карта,False,good,3,3,3,3,Барнаул (Алтайский край),13.10.2025 10:42,"Меня зовут Ирина. Обратилась в онлайн-чат совкомбанка тринадцатого октября в 14 : 26.

С начала с вопросом про то, где найти номер карты на сайте банка, а затем с вопросом про задолженность по моей карте( информация по платежу, ежемесячный платеж и тд).

Бот Катюша ответила быстро на все интересующие меня вопросы. Ставлю 5 звезд !  ",5,NEUTRAL,0.8184983730316162,0.1499879658222198,0.0315136983990669
25,https://www.banki.ru/services/responses/bank/response/12623917,True,Банк Казани,все продукты,False,good,3,3,3,3,Казань (Республика Татарстан),13.10.2025 10:42,"Захотелось преподнести сестре необычный подарок на день рождения и подарить ей 100 долларовую купюру. Встал теперь вопрос, где же найти ту самую идеальную банкноту, которую было бы не стыдно подарить 😁 В центре наткнулась на офис Банка Казани по адресу Кремлевская 2А/4, где меня дружелюбно встретили и продали самую идеальную в мире банкноту 100 долларов!) Все было очень быстро, спасибо за обслуживание Гузель! Теперь я знаю куда можно обратиться за новенькой валютой. ",5,POSITIVE,0.0155508043244481,0.9807321429252625,0.0037170895375311
26,https://www.banki.ru/services/responses/bank/response/12623918,True,Совкомбанк,все продукты,False,good,3,3,3,3,Нижний Тагил (Свердловская область),13.10.2025 10:42,"День добрый!

Хочу поблагодарить за быстрый ответ и помощь Т-ву Ксению тк я по возрасту поменяла паспорт. мне пришло уведомление о том что нужно обновить в банке, я написала в чат в личном кабинете где получила полную инструкцию о том что нужно сделать и какие нужны фото и селфи.

После чего в течении 7-10 минут мне пришло сообщение что все готово и не требует обращение в офис банка. Спасибо))). ",5,POSITIVE,0.0155934887006878,0.9806761741638184,0.0037302987184375
27,https://www.banki.ru/services/responses/bank/response/12623919,False,Альфа-Банк,все продукты,False,good,3,3,3,3,Копейск,13.10.2025 10:43,"Очень благодарен за отличную поддержку в Альфа-Банке. Когда я столкнулся с вопросом по оплате налогов через мобильное приложение, команда техподдержки быстро и профессионально помогла мне разобраться с процессом. Они подробно объяснили все шаги, ответили на мои вопросы и обеспечили безпроблемное выполнение операции. Очень ценю такой уровень сервиса и внимательное отношение. Спасибо за помощь! ",5,POSITIVE,0.0150405708700418,0.9813705086708068,0.0035888224374502
30,https://www.banki.ru/services/responses/bank/response/12623922,False,МТС Деньги,дебетовая карта,False,good,1,1,1,1,Биробиджан (Еврейская автономная область),13.10.2025 10:44,"Мне 18 лет, я решил открыть счёт в МТС Банке, чтобы спокойно распоряжаться своими средствами. Перевёл туда 100 000 рублей, полученные от продажи недвижимости — полностью законные деньги, подтверждённые всеми документами.  Через короткое время счёт заблокировали по статье 115-ФЗ, без объяснения причин. Я сразу же предоставил все документы, которые требует сам банк в подобных случаях: — договор купли-продажи недвижимости, — чеки и выписки переводов из другого банка, — паспорт и полные данные, подтверждающие законность происхождения средств.  Прошло два дня — и вместо разблокировки я получил сообщение, что банк не готов продолжать со мной сотрудничество, и предложили закрыть счёт через Почту России или лично в офисе. Без объяснений, без конкретной причины, просто отказ.  Такое отношение к клиенту — это не сервис, а полное разочарование. Я выполнил всё, что требовалось, действовал абсолютно честно и прозрачно, но вместо нормальной поддержки получил формальный отказ и блокировку своих же денег.  После этого опыта могу сказать однозначно:  МТС Банк не заслуживает доверия.  Никому не советую пользоваться его услугами — обходите стороной. С таким подходом даже законопослушные клиенты рискуют остаться без доступа к своим средствам. ",0,NEGATIVE,0.1807021647691726,0.067856878042221,0.7514410018920898
32,https://www.banki.ru/services/responses/bank/response/12623924,False,Альфа-Банк,дебетовая карта,False,good,1,2,1,1,Электросталь (Москва и область),13.10.2025 10:46,"Поехал покупать машину, заранее узнав в чате, смогу ли я снять крупную сумму денег без проблем, ответ да. Но на месте мне заблокировали все, что можно. Даже после звонка в банк с 5 минутным выслушиванием о мошенниках и концом, что все разблокируют, ничего не произошло.

Последующие звонки в банк не давали результата, операторы говорили, что у них нет полномочий) ехал туда 2 часа, обратно, полтора часа беседовал с банком, это ужасная клиенториентированность. Очевидно сделка была сорвана, а в конце ещё добили тем, что выгнали из офиса с банкоматами угрожая нарядом полиции -11/10  И только на следующее утро все разблокировали и я успешно снял деньги(алилуя) ",0,NEGATIVE,0.1806964576244354,0.0678577572107315,0.7514457702636719
34,https://www.banki.ru/services/responses/bank/response/12623926,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Казань,13.10.2025 10:46,"Хочу выразить благодарность! я случайно подключил платную услугу, моментально списали деньги, но в течении 5 минут через онлайн-чат мне отключили услугу и вернули деньги! очень оперативно и быстро! я даже не успел понервничать, балогодарю За оперативную работу чата. И в целом, приложение альфа-банка меня радует, даже рассветный счет у меня в Альфа-банке, выгодные условия и легкость в управлении. ",5,POSITIVE,0.0152002284303307,0.9811712503433228,0.0036284336820244
35,https://www.banki.ru/services/responses/bank/response/12623927,False,Газпромбанк,дебетовая карта,False,good,3,3,3,3,Киров,13.10.2025 10:46,"Оформление от заявки до получения карты прошло быстро. Представитель банка заблаговременно позвонил, предупредил о приходе. Само оформление прошло быстро, все объяснили. Вежливое обслуживание. В мобильном банке все ясно и понятно. Интересные условия по кэшбэку имеются. Могу рекомендовать данный банк своим знакомым. Тем более курьерская доставка работает отлично. ",5,POSITIVE,0.0182623695582151,0.9773089289665222,0.004428643733263
36,https://www.banki.ru/services/responses/bank/response/12623928,True,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Барнаул (Алтайский край),13.10.2025 10:47,"Ранее уже пользовалась Альфа-Банком, но карту дебетовую закрывала, пользуюсь с мужем одной- думала она не нужна будет. Но увидели, что банк дарит бонус за оформление по ссылке о друга. По этой карте много плюшек от банка в виде кэш бэка и прочее.

Ознакомились с условиями и решила написать в чат 04.10.2025, уточнить получу ли бонус, если оформлю таким образом. Мне ответила в чате Александра, что я могу участвовать в этой акции, так как карта была закрыта, по срокам подхожу, если оформлю после 7 числа. Почитала еще раз как это делать, узнала про этапы и т.д. Оформила заявку, назначила дату и время.

Специалист Кирилл привез карту, так же подробно рассказал про нее, ее плюсы, как выплачивается кюш бэк, как награда выплачивается и прочие моменты. Кроме того, он предложил бонусом оформить еще и сим-карту, где первый месяц связи бесплатный, мне это предложение так же понравилось, забрала и ее.

Собственно, оформила продукты 08.10.2025, а сегодня, 13.10.2025 уже получила вознаграждение. Спасибо банку, что предоставли такую возможность. Буду и далее пользоваться продуктами, к слову, уже кэш бэк получила значительный за покупки)) ",5,POSITIVE,0.035006895661354,0.9556164741516112,0.0093766413629055
38,https://www.banki.ru/services/responses/bank/response/12623930,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Екатеринбург,13.10.2025 10:48,"Здравствуйте, недавно, а именно 7 сентября, попросил отключить подписку Альфа-Смарт. На мою просьбу откликнулась Евгения, она помогла мне определиться с выбором — отключить или оставить эту подписку, говорила какие выгодные предложения про эту подписку ,в итоге я решил отключить ведь мне она не нужна была спасибо ей большое ",5,POSITIVE,0.0296739377081394,0.9624231457710266,0.0079029547050595
39,https://www.banki.ru/services/responses/bank/response/12623931,True,Альфа-Банк,кредитная карта,False,good,3,3,3,3,Вологда (Вологодская область),13.10.2025 10:49,"Я являюсь обладателем кредитной Альфа карты. Сегодня с нее сняли комиссию за страховку. Обратился на горячую линию через приложение Альфа-Банка примерно в 10-25 13.10.25,

сотрудник Илья мне все быстро и доходчиво объяснил, как отключить эту услугу, что я и сделал, создал обращение за номером A2510135082 в банк, и деньги вернули на счёт! Благодарю Альфа-Банк за замечательную поддержку. ",5,POSITIVE,0.1325305700302124,0.8282800316810608,0.0391893684864044
40,https://www.banki.ru/services/responses/bank/response/12623932,True,Банк Русский,вклады,False,good,3,3,3,3,Санкт-Петербург,13.10.2025 10:50,"13 октября в 10:30 я обратилась в отделение банка по адресу Ленинский проспект 138/5, для переоформления вклада. Очередей нет, обслужили быстрр, за 10 минут.

Предложили несколько вариантов ставок, ставки выше, чем в других банках. Выражаю благодарность за работу. Являюсь клиентом уже 3 года, банком довольна. ",5,POSITIVE,0.0157577116042375,0.9804726243019104,0.003769643837586
41,https://www.banki.ru/services/responses/bank/response/12623933,True,Камкомбанк,все продукты,False,good,3,3,3,3,Казань (Республика Татарстан),13.10.2025 10:51,"22. 09.2025., в 16:03 совершил операцию обмен валюты , продал доллары , и купил рубли., Здесь никогда не бывает очередей, после получения талона иногда и минуты не проходит, как вызывают на кассу ., в этом банке на мавлютова очень вежливый персонал.,

Меня обслуживал кассир Х-ва Ф.Р. Ответила на такие вопросы как: Актуальный курс доллара .,  ",5,POSITIVE,0.016487430781126,0.9795534610748292,0.0039589996449649
42,https://www.banki.ru/services/responses/bank/response/12623934,False,Уралсиб,все продукты,False,good,2,1,1,2,Ульяновск (Ульяновская область),13.10.2025 10:51,"Здравствуйт.

30.06.25 было успешно закрыто дело по банкротству. В вашем банее у меня было 2 кредита, по одному списали долг, а по автокредиту только частично и до сих висит просроченная задолженность.

В чате и в контакт центре мне помочь ничем не могут. В офис ехать мне очень неудобно, чтобы к вам приехать, мне нужно отпрашиваться с работы.

Все документы по банкротству вам были направлены и я не понимаю, почему я должна дополнительно ездить в офис. Я прошу списать мне просроченную задолженность и закрыть счет по автокредиту! ",2,NEGATIVE,0.1806932985782623,0.0678551644086837,0.7514514923095703
43,https://www.banki.ru/services/responses/bank/response/12623935,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Бийск,13.10.2025 10:52,"Представитель банка Наталья, рассказала все подробности и преимущества дебетовых карт про кэшбэки! И показала реальную историю . теперь я также хочу! Мы решили с дрчей копить на море - это оптимальный вариант для нас! Так что всем рекомендую дебетовую карту, главное отметки ставить на что получать кэшбэк! ",5,POSITIVE,0.0150522869080305,0.9813559651374816,0.0035917754285037
44,https://www.banki.ru/services/responses/bank/response/12623936,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Магнитогорск,13.10.2025 10:53,Хорошая карта все понравилось быстро сделали спасибо за помощь я вас люблю целую пока спокойной вам вечера и спокойной вам дороги и хорошего вечера целую обнимаю до встречи в эфире целую обнимаю пока спокойной вам всем привет и всем пока до свидания до завтра целую вас пока люблю целую обнимаю вас пока я тебя очень сильно целую обнимаю до связи  ,5,POSITIVE,0.014993161894381,0.981429636478424,0.0035771336406469
45,https://www.banki.ru/services/responses/bank/response/12623937,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Псков (Псковская область),13.10.2025 10:53,"Всем доброго времени суток!

Вас приветствует город Псков! В нашем городе два отделения Альфа-банка, плюс чатбот в помощь клиентам. Обратился с вопросом, что около трёх лет назад закрыл счёт и дебетовую карту и открыл новую. Когда появилась необходимость через госуслуги проверить личные банковские счета, оказалось, что тот самый счёт не закрылся.

Долго я пытался решить свою проблему. Но только один сотрудник из отделения на улице Яна Фабрициуса смогла мне помочь, к сожалению не помню её имени. Оказалось мне выдали бумагу о закрытии счёта, а на нём были денежные средства, сотрудник нашёл решение вопроса за 5 минут.

Проблема была решена. Большое ей спасибо!  ",5,POSITIVE,0.0152846882119774,0.9810658097267152,0.0036495381500571
46,https://www.banki.ru/services/responses/bank/response/12623938,False,Альфа-Банк,все продукты,False,good,3,3,3,3,Москва,13.10.2025 10:53,"12 октября написала в чат приложения ""альфа-банк"" с вопросом о списании комиссии за подписку, которую я сама не подключала. Сотрудница Яна быстро разобралась в проблеме в течении нескольких минут. Деньги вернули, и подписку отключили. Особенно понравилась оперативность и вежливость в работе. Спасибо! ",5,POSITIVE,0.0206743218004703,0.9742441177368164,0.0050814975984394
47,https://www.banki.ru/services/responses/bank/response/12623939,False,Абсолют Банк,дебетовая карта,False,good,3,3,3,3,Люберцы,13.10.2025 10:53,"Добрый день! Хотела бы оставить отзыв об офисе Абсолют Банка в Люберцых. Очень нравится отношение сотрудников, все объясняют понятно, нет очередей, да и вообще доброжелатеььная обстановка!! Отдельное спасибо Марии за помощь в выборе вклада и за совет оформить карту, упростили мое пользование доходом от вкладов. Спасибо! ",5,POSITIVE,0.0155302910134196,0.9807581901550292,0.0037116550374776
48,https://www.banki.ru/services/responses/bank/response/12623940,True,Яндекс Банк,дебетовая карта,False,good,3,3,3,3,Наро-Фоминск (Москва и область),13.10.2025 10:53,"Обратилась в службу поддержки по поводу решения ситуации с неверно рассчитанным кешбэком кешбэк ожидается за покупку билетов в театр  оператор в кратчайшие сроки ответил и дал разъяснения по поводу неверно рассчитанного вознаграждения  По условиям акции от Яндекс афиши , частЬ вознаграждения будет выплачена после завершения мероприятия  ",5,POSITIVE,0.0846724137663841,0.8972162008285522,0.0181113965809345
49,https://www.banki.ru/services/responses/bank/response/12623941,True,Россельхозбанк,вклады,False,good,3,3,3,3,Сортавала (Республика Карелия),13.10.2025 10:54,"Хочу оставить отзыв о посещении отделения Россельхозбанка в городе Сортавала. Прежде чем прийти в этот банк, мы с супругом досконально промониторили информацию об имеющихся вкладах ,ставках по всем банкам, которые есть у нас в городе.

8 октября в 14:00 мы с супругом подошли в отделение банка по адресу ул. Дружбы народов д.4. Электронной очереди в офисе нет, на обслуживание нас буквально через 2 минуты пригласил сотрудник Дмитрий. Он нам очень подробно рассказал про все виды вкладов, накопительные счета и другие продукты, на которых можно заработать. При этом все свои слова он визуализировал с помощью распечатанной информации, он нам подробно показал на каком продукте сколько можно заработать.

Так как я являюсь новым клиентом ,то Дмитрий предложил для меня вклад с хорошей ставкой, действующей в банке -13,5%. Сотрудник помог мне с установкой онлайн приложения, показал, как можно перевести деньги с другого банка,( оказывается это так легко и не нужно с наличкой бегать!) и мы буквально в течение 4 минут открыли вклад.

Всё подписание документов было электронно ,что сэкономило моё время. В офисе очень приятная обстановка, чисто уютно, сотрудники доброжелательны и приветливы. Обязательно буду рекомендовать данный банк всем своим знакомым и друзьям. ",5,POSITIVE,0.0154719278216362,0.9808310866355896,0.0036969713401049
